epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,val_r2,learning_rate
216,0.00012197,0.00529883,0.00025015,0.00794739,0.03387826,0.98691729,0.003
217,0.0001279,0.0062726,0.00024773,0.00880144,0.0339275,0.98687923,0.003
218,0.00011937,0.00555726,0.00024243,0.00801005,0.03313019,0.98748868,0.003
219,0.00011894,0.00685343,0.00027116,0.00943007,0.03480881,0.98618872,0.003
220,0.00011983,0.00565349,0.0002384,0.00801467,0.03309392,0.98751605,0.003
221,0.00012192,0.00595127,0.00025358,0.00856405,0.03412691,0.98672454,0.003
222,0.00012594,0.00700997,0.00023835,0.00916895,0.03264558,0.98785202,0.003
223,0.00011786,0.00617494,0.00026072,0.0088929,0.03396238,0.98685224,0.003
224,0.00011696,0.00538818,0.00024442,0.00781433,0.03404403,0.98678895,0.003
225,0.00011573,0.00579848,0.00024251,0.00826002,0.03296808,0.98761081,0.003
226,0.00014134,0.01019028,0.00026569,0.00927162,0.03459387,0.98635876,0.003
227,0.00035079,0.01714964,0.00040607,0.01611993,0.05421943,0.96649069,0.003
228,0.00045747,0.01474401,0.0005197,0.01681295,0.05320228,0.96773616,0.003
229,0.00038016,0.01511171,0.00038748,0.01603159,0.04871341,0.97295092,0.003
230,0.00030537,0.01151355,0.00025024,0.01146339,0.0366555,0.98468441,0.003
