epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,val_r2,learning_rate
124,0.00017467,0.00850297,0.00023729,0.01030616,0.03122912,0.98888333,0.003
125,0.00017717,0.01023597,0.00022566,0.01102436,0.03266261,0.98783934,0.003
126,0.00015535,0.00811557,0.00020483,0.00981568,0.03242386,0.98801647,0.003
127,0.0001383,0.00715097,0.00019937,0.00905451,0.03259898,0.98788667,0.003
128,0.00014099,0.00716881,0.00021777,0.00945405,0.03288958,0.98766974,0.003
129,0.00014983,0.00742009,0.00020367,0.00923493,0.03307983,0.98752668,0.003
130,0.00014429,0.00754303,0.00020859,0.00933985,0.03160585,0.98861349,0.003
131,0.00014582,0.00712205,0.000203,0.00895869,0.03236891,0.98805705,0.003
132,0.00013742,0.00608185,0.00017505,0.00801276,0.03151283,0.98868042,0.003
133,0.00014526,0.00844513,0.00024088,0.01081083,0.03452185,0.9864155,0.003
134,0.00016562,0.00818347,0.00021839,0.00976556,0.03039785,0.98946726,0.003
135,0.00017602,0.00802968,0.00031679,0.01045807,0.03853955,0.98306954,0.003
136,0.00017386,0.00793003,0.00021772,0.00966859,0.03194652,0.9883667,0.003
137,0.00016792,0.00799008,0.00021131,0.00980927,0.03116998,0.98892539,0.003
138,0.0001512,0.00748756,0.00019047,0.0091838,0.03181659,0.98846114,0.003
139,0.00016516,0.00845193,0.00022467,0.01052124,0.03416731,0.98669309,0.003
140,0.00016658,0.00737667,0.00019131,0.00890991,0.03014256,0.98964343,0.003
141,0.00015796,0.00780126,0.00019672,0.00926934,0.03010239,0.98967102,0.003
142,0.00016975,0.00940515,0.00023151,0.01108261,0.03227078,0.98812935,0.003
143,0.00016751,0.0085641,0.00020042,0.01046097,0.03048909,0.98940394,0.003
144,0.00013407,0.00749165,0.0001865,0.00896872,0.03011952,0.98965926,0.003
145,0.00012415,0.00738964,0.00017926,0.00923105,0.03155982,0.98864664,0.003
146,0.00012743,0.00698537,0.00018314,0.00845267,0.02981399,0.98986799,0.003
147,0.00013492,0.00655758,0.00017403,0.00836977,0.03135909,0.9887906,0.003
148,0.00011757,0.00660747,0.00017654,0.0085169,0.03081733,0.98917456,0.003
149,0.00011593,0.00594096,0.00018396,0.00827648,0.03182782,0.98845299,0.003
150,0.00011619,0.00563434,0.00017057,0.00760499,0.03059471,0.9893304,0.003
151,0.00012488,0.00685079,0.00022021,0.0093417,0.03246756,0.98798414,0.003
152,0.00014898,0.00888995,0.00021305,0.01035974,0.03055021,0.98936141,0.003
153,0.00016252,0.01007912,0.000255,0.01208377,0.03436408,0.98653938,0.003
154,0.00015331,0.0067408,0.00018144,0.00834359,0.03034451,0.98950419,0.003
155,0.00014139,0.00721273,0.00020354,0.00916615,0.03206452,0.98828061,0.003
156,0.00012778,0.00640146,0.00018176,0.00812593,0.0311662,0.98892807,0.003
157,0.00011529,0.00627495,0.00018031,0.00831402,0.03131333,0.98882329,0.003
158,0.00012017,0.00656952,0.00017688,0.00804032,0.0324516,0.98799595,0.003
159,0.00013474,0.0073079,0.00022807,0.00976161,0.03328723,0.98736978,0.003
160,0.00015179,0.00704369,0.00019037,0.00890433,0.03180015,0.98847307,0.003
161,0.00013392,0.00715523,0.00018986,0.00915903,0.03058576,0.98933664,0.003
162,0.00012877,0.00703042,0.00019917,0.00916354,0.03203917,0.98829914,0.003
163,0.00012363,0.00618941,0.00017499,0.00837478,0.03196807,0.98835101,0.003
164,0.00011584,0.00643092,0.00017449,0.0081407,0.03135346,0.98879463,0.003
165,0.00012049,0.00602609,0.00017028,0.007765,0.03011036,0.98966555,0.003
166,0.0001178,0.00609942,0.00017186,0.00819787,0.03123329,0.98888035,0.003
167,0.00010868,0.00614222,0.00017608,0.00835724,0.03237649,0.98805145,0.003
168,0.00011078,0.00695009,0.00018146,0.00897114,0.03131713,0.98882058,0.003
169,0.00011652,0.00618445,0.00017192,0.0082715,0.0317302,0.98852372,0.003
170,0.00011125,0.00639443,0.00018422,0.00861967,0.03239533,0.98803754,0.003
171,0.00011683,0.00668692,0.00018833,0.00875497,0.03306572,0.98753732,0.003
172,0.00012861,0.00711336,0.0002117,0.00940543,0.03192148,0.98838494,0.003
173,0.00014096,0.00652517,0.00017531,0.00814816,0.03175556,0.98850537,0.003
174,0.00012378,0.00674026,0.00018182,0.00882922,0.03264742,0.98785064,0.003
175,0.00011615,0.00607652,0.00017635,0.00815881,0.03054142,0.98936754,0.003
176,0.00012091,0.00595918,0.00016084,0.00741753,0.02963539,0.98998901,0.003
177,0.00011817,0.00590757,0.00016668,0.00766697,0.02971791,0.98993318,0.003
178,0.00011762,0.00622457,0.00017143,0.0081371,0.03196942,0.98835002,0.003
179,0.00011896,0.00645058,0.00017419,0.00834858,0.03167726,0.98856198,0.003
180,0.00011739,0.00551832,0.00016749,0.0077124,0.03133509,0.98880775,0.003
